================================================================================
WORD                      GOLD       PREDICTED  STATUS    
Beijing                   NNP        NNP        ✓         
will                      MD         MD         ✓         
be                        VB         VB         ✓         
restrained                VBN        VBN        ✓         
from                      IN         IN         ✓         
tightening                VBG        VBG        ✓         
controls                  NNS        NNS        ✓         
on                        IN         IN         ✓         
export-oriented           JJ         JJ         ✓         
southern                  JJ         JJ         ✓         
China                     NNP        NNP        ✓         
.                         .          .          ✓         

They                      PRP        PRP        ✓         
say                       VBP        VBP        ✓         
China                     NNP        NNP        ✓         
's                        POS        POS        ✓         
trade                     NN         NN         ✓         
deficit                   NN         NN         ✓         
is                        VBZ        VBZ        ✓         
widening                  VBG        VBG        ✓         
and                       CC         CC         ✓         
the                       DT         DT         ✓         
country                   NN         NN         ✓         
is                        VBZ        VBZ        ✓         
too                       RB         RB         ✓         
short                     JJ         JJ         ✓         
of                        IN         IN         ✓         
foreign                   JJ         JJ         ✓         
exchange                  NN         NN         ✓         
for                       IN         IN         ✓         
it                        PRP        PRP        ✓         
to                        TO         TO         ✓         
hamper                    VB         VB         ✓         
production                NN         NN         ✓         
in                        IN         IN         ✓         
Guangdong                 NNP        NNP        ✓         
.                         .          .          ✓         

``                        ``         ``         ✓         
The                       DT         DT         ✓         
Chinese                   JJ         JJ         ✓         
leaders                   NNS        NNS        ✓         
have                      VBP        VBP        ✓         
to                        TO         TO         ✓         
decide                    VB         VB         ✓         
whether                   IN         IN         ✓         
they                      PRP        PRP        ✓         
want                      VBP        VBP        ✓         
control                   NN         NN         ✓         
or                        CC         CC         ✓         
whether                   IN         IN         ✓         
the                       DT         DT         ✓         
want                      NN         VBP        ✗ NN->VBP 
exports                   NNS        NNS        ✓         
,                         ,          ,          ✓         
''                        ''         ''         ✓         
says                      VBZ        VBZ        ✓         
Mr.                       NNP        NNP        ✓         
Kwan                      NNP        NNP        ✓         
of                        IN         IN         ✓         
Playmates                 NNPS       NNP        ✗ NNPS->NNP
.                         .          .          ✓         

The                       DT         DT         ✓         
Bush                      NNP        NNP        ✓         
administration            NN         NN         ✓         
,                         ,          ,          ✓         
urging                    VBG        VBG        ✓         
the                       DT         DT         ✓         
Supreme                   NNP        NNP        ✓         
Court                     NNP        NNP        ✓         
to                        TO         TO         ✓         
give                      VB         VB         ✓         
states                    NNS        NNS        ✓         
more                      JJR        JJR        ✓         
leeway                    NN         NN         ✓         
to                        TO         TO         ✓         
restrict                  VB         VB         ✓         
abortions                 NNS        NNS        ✓         
,                         ,          ,          ✓         
said                      VBD        VBD        ✓         
minors                    NNS        NNS        ✓         
have                      VBP        VBP        ✓         
n't                       RB         RB         ✓         
any                       DT         DT         ✓         
right                     NN         NN         ✓         
to                        TO         TO         ✓         
abortion                  NN         NN         ✓         
without                   IN         IN         ✓         
the                       DT         DT         ✓         
consent                   NN         NN         ✓         
of                        IN         IN         ✓         
their                     PRP$       PRP$       ✓         
parents                   NNS        NNS        ✓         
.                         .          .          ✓         

Solicitor                 NNP        NNP        ✓         
General                   NNP        NNP        ✓         
Kenneth                   NNP        NNP        ✓         
Starr                     NNP        NNP        ✓         
argued                    VBD        VBD        ✓         
that                      IN         IN         ✓         
the                       DT         DT         ✓         
1973                      CD         CD         ✓         
Supreme                   NNP        NNP        ✓         
Court                     NNP        NNP        ✓         
decision                  NN         NN         ✓         
,                         ,          ,          ✓         
Roe                       NNP        NNP        ✓         
vs.                       CC         FW         ✗ CC->FW  
Wade                      NNP        NNP        ✓         
,                         ,          ,          ✓         
recognizing               VBG        VBG        ✓         
a                         DT         DT         ✓         
constitutional            JJ         JJ         ✓         
right                     NN         NN         ✓         
to                        TO         TO         ✓         
abortion                  NN         NN         ✓         
,                         ,          ,          ✓         
was                       VBD        VBD        ✓         
incorrect                 JJ         JJ         ✓         
.                         .          .          ✓         

He                        PRP        PRP        ✓         
also                      RB         RB         ✓         
argued                    VBD        VBD        ✓         
that                      IN         IN         ✓         
the                       DT         DT         ✓         
high                      JJ         JJ         ✓         
court                     NN         NN         ✓         
was                       VBD        VBD        ✓         
wrong                     JJ         JJ         ✓         
in                        IN         IN         ✓         
1976                      CD         CD         ✓         
to                        TO         TO         ✓         
rule                      VB         VB         ✓         
that                      IN         WDT        ✗ IN->WDT 
minors                    NNS        NNS        ✓         
have                      VBP        VBP        ✓         
a                         DT         DT         ✓         
right                     NN         NN         ✓         
to                        TO         TO         ✓         
abortion                  NN         NN         ✓         
that                      WDT        WDT        ✓         
ca                        MD         MD         ✓         
n't                       RB         RB         ✓         
be                        VB         VB         ✓         
absolutely                RB         RB         ✓         
vetoed                    VBN        VBN        ✓         
by                        IN         IN         ✓         
their                     PRP$       PRP$       ✓         
parents                   NNS        NNS        ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
administration            NN         NN         ✓         
's                        POS        POS        ✓         
position                  NN         NN         ✓         
was                       VBD        VBD        ✓         
outlined                  VBN        VBN        ✓         
in                        IN         IN         ✓         
a                         DT         DT         ✓         
friend-of-the-court       JJ         JJ         ✓         
brief                     NN         NN         ✓         
filed                     VBN        VBN        ✓         
in                        IN         IN         ✓         
one                       CD         CD         ✓         
of                        IN         IN         ✓         
three                     CD         CD         ✓         
abortion                  NN         NN         ✓         
cases                     VBZ        NNS        ✗ VBZ->NNS
the                       DT         DT         ✓         
Supreme                   NNP        NNP        ✓         
Court                     NNP        NNP        ✓         
will                      MD         MD         ✓         
hear                      VB         VB         ✓         
argued                    VBN        VBN        ✓         
and                       CC         CC         ✓         
will                      MD         MD         ✓         
decide                    VB         VB         ✓         
this                      DT         DT         ✓         
term                      NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
administration            NN         NN         ✓         
filed                     VBD        VBD        ✓         
the                       DT         DT         ✓         
brief                     NN         NN         ✓         
in                        IN         IN         ✓         
an                        DT         DT         ✓         
appeal                    NN         NN         ✓         
involving                 VBG        VBG        ✓         
a                         DT         DT         ✓         
Minnesota                 NNP        NNP        ✓         
law                       NN         NN         ✓         
that                      WDT        WDT        ✓         
requires                  VBZ        VBZ        ✓         
that                      IN         IN         ✓         
both                      DT         DT         ✓         
parents                   NNS        NNS        ✓         
of                        IN         IN         ✓         
a                         DT         DT         ✓         
minor                     NN         JJ         ✗ NN->JJ  
be                        VB         VB         ✓         
notified                  VBN        VBN        ✓         
before                    IN         IN         ✓         
she                       PRP        PRP        ✓         
may                       MD         MD         ✓         
have                      VB         VB         ✓         
an                        DT         DT         ✓         
abortion                  NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
administration            NN         NN         ✓         
urged                     VBD        VBD        ✓         
the                       DT         DT         ✓         
justices                  NNS        NNS        ✓         
to                        TO         TO         ✓         
adopt                     VB         VB         ✓         
a                         DT         DT         ✓         
legal                     JJ         JJ         ✓         
standard                  NN         NN         ✓         
suggested                 VBN        VBD        ✗ VBN->VBD
by                        IN         IN         ✓         
Chief                     NNP        NNP        ✓         
Justice                   NNP        NNP        ✓         
William                   NNP        NNP        ✓         
Rehnquist                 NNP        NNP        ✓         
last                      JJ         JJ         ✓         
July                      NNP        NNP        ✓         
when                      WRB        WRB        ✓         
the                       DT         DT         ✓         
high                      JJ         JJ         ✓         
court                     NN         NN         ✓         
upheld                    VBD        VBD        ✓         
Missouri                  NNP        NNP        ✓         
's                        POS        POS        ✓         
abortion                  NN         NN         ✓         
restrictions              NNS        NNS        ✓         
.                         .          .          ✓         

Under                     IN         IN         ✓         
that                      DT         DT         ✓         
standard                  NN         NN         ✓         
,                         ,          ,          ✓         
which                     WDT        WDT        ✓         
garnered                  VBD        VBD        ✓         
the                       DT         DT         ✓         
votes                     NNS        NNS        ✓         
of                        IN         IN         ✓         
only                      RB         RB         ✓         
three                     CD         CD         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
nine                      CD         CD         ✓         
justices                  NNS        NNS        ✓         
,                         ,          ,          ✓         
a                         DT         DT         ✓         
state                     NN         NN         ✓         
restriction               NN         NN         ✓         
of                        IN         IN         ✓         
abortion                  NN         NN         ✓         
is                        VBZ        VBZ        ✓         
constitutional            JJ         JJ         ✓         
if                        IN         IN         ✓         
the                       DT         DT         ✓         
state                     NN         NN         ✓         
has                       VBZ        VBZ        ✓         
a                         DT         DT         ✓         
``                        ``         ``         ✓         
reasonable                JJ         JJ         ✓         
''                        ''         ''         ✓         
justification             NN         NN         ✓         
for                       IN         IN         ✓         
adopting                  VBG        VBG        ✓         
it                        PRP        PRP        ✓         
.                         .          .          ✓         

That                      DT         DT         ✓         
is                        VBZ        VBZ        ✓         
a                         DT         DT         ✓         
much                      RB         RB         ✓         
easier                    JJR        JJR        ✓         
standard                  NN         NN         ✓         
for                       IN         IN         ✓         
a                         DT         DT         ✓         
state                     NN         NN         ✓         
to                        TO         TO         ✓         
satisfy                   VB         VB         ✓         
than                      IN         IN         ✓         
the                       DT         DT         ✓         
Supreme                   NNP        NNP        ✓         
Court                     NNP        NNP        ✓         
's                        POS        POS        ✓         
test                      NN         NN         ✓         
since                     IN         IN         ✓         
1973                      CD         CD         ✓         
,                         ,          ,          ✓         
which                     WDT        WDT        ✓         
requires                  VBZ        VBZ        ✓         
a                         DT         DT         ✓         
state                     NN         NN         ✓         
to                        TO         TO         ✓         
have                      VB         VB         ✓         
a                         DT         DT         ✓         
``                        ``         ``         ✓         
compelling                JJ         JJ         ✓         
''                        ''         ''         ✓         
reason                    NN         NN         ✓         
for                       IN         IN         ✓         
restricting               VBG        VBG        ✓         
abortion                  NN         NN         ✓         
.                         .          .          ✓         

On                        IN         IN         ✓         
the                       DT         DT         ✓         
provisions                NNS        NNS        ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
Minnesota                 NNP        NNP        ✓         
law                       NN         NN         ✓         
,                         ,          ,          ✓         
the                       DT         DT         ✓         
Bush                      NNP        NNP        ✓         
administration            NN         NN         ✓         
said                      VBD        VBD        ✓         
that                      IN         IN         ✓         
requiring                 VBG        VBG        ✓         
that                      IN         IN         ✓         
both                      DT         DT         ✓         
parents                   NNS        NNS        ✓         
be                        VB         VB         ✓         
notified                  VBN        VBN        ✓         
is                        VBZ        VBZ        ✓         
a                         DT         DT         ✓         
reasonable                JJ         JJ         ✓         
regulation                NN         NN         ✓         
,                         ,          ,          ✓         
and                       CC         CC         ✓         
that                      IN         IN         ✓         
there                     EX         EX         ✓         
is                        VBZ        VBZ        ✓         
no                        DT         DT         ✓         
need                      NN         NN         ✓         
to                        TO         TO         ✓         
have                      VB         VB         ✓         
an                        DT         DT         ✓         
alternative               NN         NN         ✓         
that                      WDT        WDT        ✓         
allows                    VBZ        VBZ        ✓         
minors                    NNS        NNS        ✓         
to                        TO         TO         ✓         
go                        VB         VB         ✓         
to                        TO         TO         ✓         
court                     NN         NN         ✓         
for                       IN         IN         ✓         
a                         DT         DT         ✓         
judge                     NN         NN         ✓         
's                        POS        POS        ✓         
permission                NN         NN         ✓         
instead                   RB         RB         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
case                      NN         NN         ✓         
,                         ,          ,          ✓         
Hodgson                   NNP        NNP        ✓         
vs.                       CC         FW         ✗ CC->FW  
Minnesota                 NNP        NNP        ✓         
,                         ,          ,          ✓         
will                      MD         MD         ✓         
be                        VB         VB         ✓         
argued                    VBN        VBN        ✓         
Nov.                      NNP        NNP        ✓         
29                        CD         CD         ✓         
.                         .          .          ✓         

Aluminum                  NNP        NNP        ✓         
Co.                       NNP        NNP        ✓         
of                        IN         IN         ✓         
America                   NNP        NNP        ✓         
,                         ,          ,          ✓         
hit                       VBD        VBD        ✓         
hard                      RB         JJ         ✗ RB->JJ  
by                        IN         IN         ✓         
the                       DT         DT         ✓         
strength                  NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
dollar                    NN         NN         ✓         
overseas                  NN         RB         ✗ NN->RB  
,                         ,          ,          ✓         
said                      VBD        VBD        ✓         
net                       JJ         JJ         ✓         
income                    NN         NN         ✓         
for                       IN         IN         ✓         
the                       DT         DT         ✓         
third                     JJ         JJ         ✓         
quarter                   NN         NN         ✓         
dropped                   VBD        VBD        ✓         
3.2                       CD         CD         ✓         
%                         NN         NN         ✓         
to                        TO         TO         ✓         
$                         $          $          ✓         
219                       CD         CD         ✓         
million                   CD         CD         ✓         
,                         ,          ,          ✓         
or                        CC         CC         ✓         
$                         $          $          ✓         
2.46                      CD         CD         ✓         
a                         DT         DT         ✓         
share                     NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
nation                    NN         NN         ✓         
's                        POS        POS        ✓         
No.                       NN         NN         ✓         
1                         CD         CD         ✓         
aluminum                  NN         NN         ✓         
maker                     NN         NN         ✓         
earned                    VBD        VBD        ✓         
$                         $          $          ✓         
226.3                     CD         CD         ✓         
million                   CD         CD         ✓         
,                         ,          ,          ✓         
or                        CC         CC         ✓         
$                         $          $          ✓         
2.56                      CD         CD         ✓         
a                         DT         DT         ✓         
share                     NN         NN         ✓         
,                         ,          ,          ✓         
a                         DT         DT         ✓         
year                      NN         NN         ✓         
earlier                   RBR        RBR        ✓         
.                         .          .          ✓         

Revenue                   NN         NN         ✓         
rose                      VBD        VBD        ✓         
11                        CD         CD         ✓         
%                         NN         NN         ✓         
to                        TO         TO         ✓         
$                         $          $          ✓         
2.83                      CD         CD         ✓         
billion                   CD         CD         ✓         
from                      IN         IN         ✓         
$                         $          $          ✓         
2.56                      CD         CD         ✓         
billion                   CD         CD         ✓         
.                         .          .          ✓         

Analysts                  NNS        NNS        ✓         
,                         ,          ,          ✓         
who                       WP         WP         ✓         
were                      VBD        VBD        ✓         
expecting                 VBG        VBG        ✓         
Alcoa                     NNP        NNP        ✓         
to                        TO         TO         ✓         
post                      VB         VB         ✓         
around                    IN         IN         ✓         
$                         $          $          ✓         
2.70                      CD         CD         ✓         
to                        TO         TO         ✓         
$                         $          $          ✓         
3                         CD         CD         ✓         
a                         DT         DT         ✓         
share                     NN         NN         ✓         
,                         ,          ,          ✓         
were                      VBD        VBD        ✓         
surprised                 VBN        VBN        ✓         
at                        IN         IN         ✓         
the                       DT         DT         ✓         
lackluster                NN         JJ         ✗ NN->JJ  
third-quarter             NN         JJ         ✗ NN->JJ  
results                   NNS        NNS        ✓         
.                         .          .          ✓         

``                        ``         ``         ✓         
It                        PRP        PRP        ✓         
's                        VBZ        VBZ        ✓         
disappointing             JJ         JJ         ✓         
,                         ,          ,          ✓         
''                        ''         ''         ✓         
said                      VBD        VBD        ✓         
William                   NNP        NNP        ✓         
Siedenburg                NNP        NNP        ✓         
,                         ,          ,          ✓         
an                        DT         DT         ✓         
analyst                   NN         NN         ✓         
with                      IN         IN         ✓         
Smith                     NNP        NNP        ✓         
Barney                    NNP        NNP        ✓         
,                         ,          ,          ✓         
Harris                    NNP        NNP        ✓         
Upham                     NNP        NNP        ✓         
&                         CC         CC         ✓         
Co                        NNP        NNP        ✓         
.                         .          .          ✓         

Much                      RB         RB         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
earnings                  NNS        NNS        ✓         
decline                   NN         NN         ✓         
was                       VBD        VBD        ✓         
led                       VBN        VBN        ✓         
by                        IN         IN         ✓         
currency-exchange         JJ         JJ         ✓         
rate                      NN         NN         ✓         
adjustments               NNS        NNS        ✓         
,                         ,          ,          ✓         
which                     WDT        WDT        ✓         
affected                  VBD        VBD        ✓         
the                       DT         DT         ✓         
bottom                    NN         JJ         ✗ NN->JJ  
line                      NN         NN         ✓         
by                        IN         IN         ✓         
$                         $          $          ✓         
15.3                      CD         CD         ✓         
million                   CD         CD         ✓         
,                         ,          ,          ✓         
or                        CC         CC         ✓         
17                        CD         CD         ✓         
cents                     NNS        NNS        ✓         
a                         DT         DT         ✓         
share                     NN         NN         ✓         
,                         ,          ,          ✓         
compared                  VBN        VBN        ✓         
with                      IN         IN         ✓         
$                         $          $          ✓         
3.6                       CD         CD         ✓         
million                   CD         CD         ✓         
,                         ,          ,          ✓         
or                        CC         CC         ✓         
four                      CD         CD         ✓         
cents                     NNS        NNS        ✓         
a                         DT         DT         ✓         
share                     NN         NN         ✓         
,                         ,          ,          ✓         
the                       DT         DT         ✓         
previous                  JJ         JJ         ✓         
year                      NN         NN         ✓         
.                         .          .          ✓         

Lower                     JJR        JJR        ✓         
prices                    NNS        NNS        ✓         
for                       IN         IN         ✓         
aluminum                  NN         NN         ✓         
ingots                    NNS        NNS        ✓         
and                       CC         CC         ✓         
certain                   JJ         JJ         ✓         
alloy                     NN         NN         ✓         
products                  NNS        NNS        ✓         
and                       CC         CC         ✓         
a                         DT         DT         ✓         
shift                     NN         NN         ✓         
in                        IN         IN         ✓         
the                       DT         DT         ✓         
product                   NN         NN         ✓         
mix                       NN         NN         ✓         
also                      RB         RB         ✓         
contributed               VBD        VBD        ✓         
to                        TO         TO         ✓         
lower                     JJR        JJR        ✓         
earnings                  NNS        NNS        ✓         
,                         ,          ,          ✓         
the                       DT         DT         ✓         
company                   NN         NN         ✓         
said                      VBD        VBD        ✓         
.                         .          .          ✓         

``                        ``         ``         ✓         
In                        IN         IN         ✓         
addition                  NN         NN         ✓         
,                         ,          ,          ✓         
costs                     NNS        NNS        ✓         
were                      VBD        VBD        ✓         
higher                    JJR        JJR        ✓         
partly                    RB         RB         ✓         
due                       JJ         JJ         ✓         
to                        TO         TO         ✓         
scheduled                 VBN        VBN        ✓         
plant                     NN         NN         ✓         
outages                   NNS        NNS        ✓         
for                       IN         IN         ✓         
modernization             NN         NN         ✓         
work                      NN         NN         ✓         
,                         ,          ,          ✓         
''                        ''         ''         ✓         
the                       DT         DT         ✓         
company                   NN         NN         ✓         
said                      VBD        VBD        ✓         
.                         .          .          ✓         

Excluding                 VBG        VBG        ✓         
the                       DT         DT         ✓         
higher                    JJR        JJR        ✓         
tax                       NN         NN         ✓         
rate                      NN         NN         ✓         
,                         ,          ,          ✓         
which                     WDT        WDT        ✓         
rose                      VBD        VBD        ✓         
two                       CD         CD         ✓         
percentage                NN         NN         ✓         
points                    NNS        NNS        ✓         
to                        TO         TO         ✓         
38                        CD         CD         ✓         
%                         NN         NN         ✓         
,                         ,          ,          ✓         
and                       CC         CC         ✓         
the                       DT         DT         ✓         
negative                  JJ         JJ         ✓         
exchange                  NN         NN         ✓         
rate                      NN         NN         ✓         
adjustment                NN         NN         ✓         
,                         ,          ,          ✓         
the                       DT         DT         ✓         
company                   NN         NN         ✓         
would                     MD         MD         ✓         
have                      VB         VB         ✓         
met                       VBN        VBN        ✓         
analysts                  NNS        NNS        ✓         
'                         POS        POS        ✓         
expectations              NNS        NNS        ✓         
,                         ,          ,          ✓         
said                      VBD        VBD        ✓         
R.                        NNP        NNP        ✓         
Wayne                     NNP        NNP        ✓         
Atwell                    NNP        NNP        ✓         
,                         ,          ,          ✓         
an                        DT         DT         ✓         
analyst                   NN         NN         ✓         
with                      IN         IN         ✓         
Goldman                   NNP        NNP        ✓         
,                         ,          ,          ✓         
Sachs                     NNP        NNP        ✓         
&                         CC         CC         ✓         
Co                        NNP        NNP        ✓         
.                         .          .          ✓         

Noting                    VBG        VBG        ✓         
that                      IN         IN         ✓         
the                       DT         DT         ✓         
third                     JJ         JJ         ✓         
quarter                   NN         NN         ✓         
is                        VBZ        VBZ        ✓         
usually                   RB         RB         ✓         
the                       DT         DT         ✓         
aluminum                  NN         NN         ✓         
industry                  NN         NN         ✓         
's                        VBZ        POS        ✗ VBZ->POS
slowest                   JJS        JJS        ✓         
,                         ,          ,          ✓         
Mr.                       NNP        NNP        ✓         
Atwell                    NNP        NNP        ✓         
added                     VBD        VBD        ✓         
,                         ,          ,          ✓         
``                        ``         ``         ✓         
the                       DT         DT         ✓         
third                     JJ         JJ         ✓         
quarter                   NN         NN         ✓         
is                        VBZ        VBZ        ✓         
never                     RB         RB         ✓         
a                         DT         DT         ✓         
bang                      NN         NN         ✓         
up                        IN         IN         ✓         
period                    NN         NN         ✓         
for                       IN         IN         ✓         
them                      PRP        PRP        ✓         
anyway                    RB         RB         ✓         
.                         .          .          ✓         
''                        ''         ''         ✓         

Nevertheless              RB         RB         ✓         
,                         ,          ,          ✓         
the                       DT         DT         ✓         
company                   NN         NN         ✓         
said                      VBD        VBD        ✓         
shipments                 NNS        NNS        ✓         
were                      VBD        VBD        ✓         
up                        IN         RP         ✗ IN->RP  
slightly                  RB         RB         ✓         
to                        TO         TO         ✓         
679,000                   CD         CD         ✓         
metric                    JJ         JJ         ✓         
tons                      NNS        NNS        ✓         
from                      IN         IN         ✓         
671,000                   CD         CD         ✓         
,                         ,          ,          ✓         
buffing                   VBG        VBG        ✓         
the                       DT         DT         ✓         
impact                    NN         NN         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
unexpected                JJ         JJ         ✓         
earning                   NN         NN         ✓         
decline                   NN         NN         ✓         
.                         .          .          ✓         

The                       DT         DT         ✓         
results                   NNS        NNS        ✓         
were                      VBD        VBD        ✓         
announced                 VBN        VBN        ✓         
after                     IN         IN         ✓         
the                       DT         DT         ✓         
stock                     NN         NN         ✓         
market                    NN         NN         ✓         
closed                    VBD        VBD        ✓         
.                         .          .          ✓         

In                        IN         IN         ✓         
New                       NNP        NNP        ✓         
York                      NNP        NNP        ✓         
Stock                     NNP        NNP        ✓         
Exchange                  NNP        NNP        ✓         
composite                 JJ         JJ         ✓         
trading                   NN         NN         ✓         
Friday                    NNP        NNP        ✓         
,                         ,          ,          ✓         
Alcoa                     NNP        NNP        ✓         
closed                    VBD        VBD        ✓         
at                        IN         IN         ✓         
$                         $          $          ✓         
72                        CD         CD         ✓         
a                         DT         DT         ✓         
share                     NN         NN         ✓         
,                         ,          ,          ✓         
down                      IN         RB         ✗ IN->RB  
$                         $          $          ✓         
4.75                      CD         CD         ✓         
,                         ,          ,          ✓         
in                        IN         IN         ✓         
a                         DT         DT         ✓         
sharply                   RB         RB         ✓         
lower                     JJR        JJR        ✓         
market                    NN         NN         ✓         
.                         .          .          ✓         

For                       IN         IN         ✓         
20                        CD         CD         ✓         
years                     NNS        NNS        ✓         
,                         ,          ,          ✓         
federal                   JJ         JJ         ✓         
rules                     NNS        NNS        ✓         
have                      VBP        VBP        ✓         
barred                    VBN        VBN        ✓         
the                       DT         DT         ✓         
three                     CD         CD         ✓         
major                     JJ         JJ         ✓         
television                NN         NN         ✓         
networks                  NNS        NNS        ✓         
from                      IN         IN         ✓         
sharing                   VBG        VBG        ✓         
in                        IN         IN         ✓         
one                       CD         CD         ✓         
of                        IN         IN         ✓         
the                       DT         DT         ✓         
most                      RBS        RBS        ✓         
lucrative                 JJ         JJ         ✓         
and                       CC         CC         ✓         
fastest-growing           JJ         JJ         ✓         
